SeniorCitizen,MonthlyCharges,InternetService_DSL,InternetService_Fiber optic,InternetService_No,PaymentMethod_Electronic check,PaymentMethod_Mailed check,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),Contract_Month-to-month,Contract_One year,Contract_Two year,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_Yes,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,PaperlessBilling_Yes,TotalCharges,Churn
0,103.7,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,1,1,0,1,1,0,1,1,1,5036.3,1
0,105.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0,0,1,0,1,0,1,1,1,1,1,2686.05,0
0,113.25,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,1,1,1,1,1,1,1,1,1,1,0,7895.15,0
0,20.65,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1022.95,0
0,106.7,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,1,1,1,1,0,1,0,1,1,0,7382.25,0
0,55.2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,1,1,1,0,0,0,1,1,0,0,0,528.35,1
0,90.05,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,1,1,0,0,1,1,1862.9,0
1,39.65,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,1,1,39.65,1
0,19.8,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,0,1,0,0,0,0,0,0,0,0,202.25,0
0,20.15,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,20.15,1
0,59.9,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,1,0,1,1,0,1,0,1,0,0,1,3505.1,0
0,59.6,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1,1,1,0,1,1,0,1,0,0,0,2970.3,0
0,55.3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0,1,1,0,0,0,0,1,1530.6,0
0,99.35,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1,1,1,1,0,1,0,0,1,1,1,4749.15,1
0,30.2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1,1,0,0,0,1,0,0,0,0,0,30.2,1
0,90.25,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1,0,1,1,1,1,1,1,1,1,1,6369.45,0
0,64.7,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,1,1,0,0,0,0,0,1,1,1,1093.1,1
1,96.35,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,1,0,1,1,1,1,1,1,0,0,1,6766.95,0
1,95.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1,0,1,0,0,0,1,0,1,1,1,181.65,0
0,66.15,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,1,1,1,0,1,1,1,1,0,0,0,1874.45,0
0,20.2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,20.2,0
1,45.25,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,45.25,0
0,99.9,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,1,1,1,1,1,0,1,1,0,0,7251.7,0
0,69.7,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,1,316.9,1
0,74.8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,3548.3,0
0,106.35,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0,0,1,1,0,1,1,0,1,1,1,3549.25,1
0,97.85,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,1,0,0,1,0,1,1,1,1105.4,1
0,49.55,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,1,1,1,0,0,1,0,0,0,0,0,475.7,0
0,69.2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,1,1,1,1,1,1,0,0,1,0,1,4872.35,0
0,20.75,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,1,1,1,0,0,0,0,0,0,0,0,418.25,0
0,79.85,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,1,1,1,1,1,1,0,1,4861.45,0
0,76.2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1,0,1,1,1,1,0,1,1,0,1,981.45,0
0,84.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,1,1,3906.7,0
0,49.25,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,1,0,0,1,0,0,0,0,0,97.0,0
0,80.65,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,1,144.15,1
0,79.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0,1,1,1,0,0,1,1,1,1,4217.8,0
0,64.15,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,1,1,1,1,1,0,1,1,0,0,1,4254.1,0
1,90.25,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0,1,1,0,1,0,0,1,0,1,3838.75,0
0,99.1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0,1,1,0,0,1,1,1,1426.4,1
1,69.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,1,0,1,1,1,0,0,1,1,0,1,1752.65,0
1,80.65,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,1,0,1,1,0,1,0,0,0,0,1,633.3,1
1,74.85,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,1,1,1,0,1,1,1,1,0,1,1,4456.35,0
1,95.45,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0,0,1,1,0,0,0,0,1,1,1,1752.55,1
0,99.65,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,1,1,1,1,1,0,0,0,1,1,1,6311.2,0
1,108.45,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1,1,1,0,1,1,1,1,1,1,7076.35,0
0,24.95,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,1,1,1,1,0,0,0,0,0,0,0,894.3,0
0,107.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,1,0,0,1,1,1,1,1,7853.7,0
0,100.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1,0,1,1,0,0,1,0,1,1,1,4707.1,0
0,89.9,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,1,1,0,1,0,0,1,0,1,5450.7,0
0,42.1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0,0,0,1,1,1,0,0,0,0,2962.0,0
0,54.4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,1,1,1,0,0,0,1,1,0,0,1,957.1,0
0,94.4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0,1,1,0,0,0,0,1,1,0,857.25,1
0,75.3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,1,0,1,1,1,1,244.1,0
0,78.9,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,0,1,1,0,1,0,0,0,0,1,3650.35,0
0,79.2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,1,0,0,1,1,1,1,1,0,2497.2,0
0,20.15,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,1,1,0,0,0,0,0,0,0,0,930.9,0
0,79.85,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,1,0,1,0,1,0,0,0,1,887.35,0
0,49.05,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,1,0,0,0,0,1,0,0,0,49.05,0
0,20.4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,1,1,0,0,0,0,0,0,0,1,1090.65,0
1,111.6,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,1,1,1,0,1,1,1,1,1,7099.0,0
0,24.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,1,1,0,0,0,0,0,0,1,1424.6,0
0,64.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,1,0,1,0,0,1,0,1,1,177.4,0
1,110.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,1,1,1,1,1,0,1,1,0,6139.5,0
0,55.65,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0,2688.85,0
0,54.65,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1,1,1,0,1,1,0,0,0,0,0,482.25,0
1,74.75,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0,0,1,0,1,1,0,0,1,1,1,2111.3,0
0,25.9,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,1,1,1,1,0,0,0,0,0,0,1,1216.6,0
0,79.35,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,1,1,0,0,0,0,0,1,0,1,79.35,1
0,50.55,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1,1,0,0,1,0,0,0,1,1,0,565.35,0
0,75.15,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,1,0,0,0,1,0,0,0,1,496.9,1
0,103.8,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,1,1,1,1,1,1,4327.5,0
0,20.15,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,1,0,0,0,0,0,0,0,1,973.35,0
0,99.3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0,0,1,1,0,1,0,0,1,1,1,918.75,0
0,62.15,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,1,0,1,0,0,0,1,0,1,2215.45,0
0,20.65,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,1,1,0,0,0,0,0,0,0,0,1057.0,0
0,19.95,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,1,1,1,0,0,0,0,0,0,0,1,927.1,0
0,33.75,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,0,0,0,0,0,0,0,1,0,0,1009.25,0
0,82.05,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1,1,0,0,1,1,0,0,0,0,2570.2,0
1,74.7,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0,0,1,0,0,0,0,1,0,0,0,74.7,0
0,84.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,1,1,1,1,1,0,1,1,1,1,1,5714.25,0
0,111.05,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,1,1,1,1,0,1,1,1,7107.0,0
0,100.9,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,1,1,0,1,1,0,1,1,1,7459.05,0
0,78.95,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0,1,1,1,0,0,0,0,0,1,927.35,1
0,66.85,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1,0,1,0,0,1,4748.7,0
0,21.05,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,113.85,1
0,21.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,1107.2,0
1,98.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1,0,1,0,0,1,1,0,1,1,1,2514.5,1
0,20.2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,20.2,0
0,19.45,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0,0,0,19.45,0
0,95.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,1,1,0,0,1,1,1,0,0,3605.6,0
1,45.55,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,0,1,1,0,1,0,0,3027.25,0
0,110.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0,1,1,0,1,1,1,1,1,1,7611.85,1
0,24.3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,100.2,0
0,104.15,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,1,1,1,1,1,0,0,1,1,1,7303.05,0
0,30.15,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,927.65,0
0,94.35,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0,0,1,1,0,0,0,0,1,1,0,3921.3,0
0,19.4,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,1363.25,0
0,96.75,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1,0,1,1,1,1,0,0,1,0,1,5238.9,1
0,57.95,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0,0,1,0,1,0,1,1,0,0,0,3042.25,0
0,91.65,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,1,1,0,1,0,1,3954.1,0
1,76.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1,0,1,1,0,0,0,0,0,0,1,2868.15,1
0,54.6,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,1,1,0,0,0,1,0,1,1,1,1,3423.5,0
0,89.85,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1,1,1,0,1,1,0,0,1,0,0,248.4,0
0,31.05,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,1126.35,0
0,100.25,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1,1,1,1,1,0,0,0,1,1,1,1064.65,1
0,20.65,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,835.15,0
0,85.2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1,1,1,1,0,1,0,1,0,0,1,2151.6,0
0,99.8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,1,1,1,1,0,0,1,0,1,1,1,5515.45,0
0,20.7,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,112.75,0
0,74.4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0,0,1,1,0,0,0,0,0,0,1,229.55,1
0,50.7,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1,1,1,0,1,0,0,0,0,0,0,350.35,0
0,20.85,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0,0,0,62.9,0
0,88.95,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0,0,1,0,1,0,0,1,1,0,1,3027.65,0
1,78.05,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0,1,1,0,0,1,0,0,0,1,2135.5,1
0,23.55,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0,1,1,0,0,0,0,0,0,1,1723.95,0
0,19.75,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,19.75,0
1,56.45,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0,0,0,1,1,0,0,1,1,1,3985.35,0
0,85.95,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,1,1,1215.65,0
0,58.6,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,1,1,0,0,1,1,1,0,1,1,1,1502.65,1
0,50.55,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,1,0,0,0,0,1,0,0,0,3260.1,0
0,35.45,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,1,35.45,1
0,44.35,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,81.25,1
0,25.7,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,1,0,0,0,0,0,0,1,1188.2,0
0,75.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,1,1778.5,0
0,20.2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,1,1,1,0,0,0,0,0,0,0,0,1277.75,0
0,19.6,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,0,1,1,0,0,0,0,0,0,0,1,1170.55,0
1,70.45,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0,1,70.45,1
1,88.05,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,1,1,1,1,1,1,1,1,1,1,1,6425.65,0
0,71.15,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0,1,1,1,0,0,1,0,1,0,563.65,1
0,101.05,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,1,1,0,1,0,0,1,1,1,5971.25,0
0,84.3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,1,1,1,1,0,0,0,0,1,5289.05,0
1,23.95,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0,1,1,0,0,0,0,0,0,0,1756.2,0
0,99.05,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,1,1,1,1,1,1,0,1,1,0,1,6416.7,0
0,19.6,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,61.35,0
0,45.65,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,1,45.65,1
0,64.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,0,1,1,0,0,1,1,0,1,0,0,1929.95,0
0,69.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,1,1,0,0,1,1,1,0,1,1,1071.4,0
0,68.55,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1,1,1,0,0,0,0,1,1,1,1,564.35,0
0,95.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,1,1,0,0,0,0,1,1,0,655.5,1
0,108.15,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,1,1,1,1,1,1,1,0,1,1,1,7930.55,0
0,86.1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,1,1,1,0,1,1,1,1,1,1,0,5215.25,0
0,19.7,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0,0,0,113.5,0
0,80.9,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0,1,1,1152.8,0
0,84.15,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,1,0,0,0,0,1,0,1,1821.95,0
0,20.15,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,419.9,0
0,64.25,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,1,1,1,0,1,0,1,0,1,0,0,1024.0,0
0,25.7,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,1,1,0,0,0,0,0,0,0,251.6,0
0,56.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,1,1,0,1,1,0,0,0,0,1,764.55,0
0,82.4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1,0,1,1,1,0,0,0,0,0,0,1592.35,1
0,69.7,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,135.2,0
0,73.9,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,1,1,0,1,1,1,0,1,1,3958.25,0
0,20.6,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,1,1,1,0,0,0,0,0,0,0,0,233.9,0
0,19.9,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,1,0,1,0,0,0,0,0,0,0,0,1363.45,0
0,70.9,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,273.0,1
0,89.05,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0,1,1,1,1,1,1,1,1,1,6254.45,0
1,45.3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1,0,0,0,0,1,1,0,0,1,1,2651.2,1
0,20.4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0,0,0,321.4,0
0,84.25,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,0,1,0,1,0,1,1,0,0,1,3539.25,0
0,104.4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1,0,1,1,0,0,1,1,1,1,1,242.8,1
0,81.95,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,1,0,1,0,0,1,1,1,1,1,0,1181.75,0
0,94.85,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,1,0,0,0,1,0,1,1,1,5000.2,1
0,20.55,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,654.55,0
